date,Strategy,asset,weight
2013-04-12,RegimeShift,equity,1.2015838051488358e-08
2013-04-15,RegimeShift,equity,1.2885106115054664e-08
2013-04-16,RegimeShift,equity,1.3506890006745115e-08
2013-04-17,RegimeShift,equity,1.3568909519776864e-08
2013-04-18,RegimeShift,equity,1.3720068827806307e-08
2013-04-22,RegimeShift,equity,1.3624884016648013e-08
2013-04-23,RegimeShift,equity,1.366071477694173e-08
2013-04-25,RegimeShift,equity,1.3666234747036736e-08
2013-04-26,RegimeShift,equity,1.910425093953388e-09
2013-04-29,RegimeShift,equity,1.909420634986785e-09
2013-04-30,RegimeShift,equity,1.9185200105408185e-09
2013-05-02,RegimeShift,equity,1.955019144317271e-09
2013-05-03,RegimeShift,equity,1.9241722454161024e-09
2013-05-06,RegimeShift,equity,1.9330112269583845e-09
2013-05-07,RegimeShift,equity,1.9587486881916213e-09
2013-05-08,RegimeShift,equity,1.9731267086701668e-09
2013-05-09,RegimeShift,equity,1.958209154688412e-09
2013-05-10,RegimeShift,equity,1.978723563481998e-09
2013-05-13,RegimeShift,equity,1.946443340593597e-09
2013-05-14,RegimeShift,equity,1.951720784849078e-09
2013-05-15,RegimeShift,equity,2.011332628324014e-09
2013-05-16,RegimeShift,equity,2.038571285068265e-09
2013-05-17,RegimeShift,equity,2.0423921284539082e-09
2013-05-20,RegimeShift,equity,2.0426090765201974e-09
2013-05-21,RegimeShift,equity,2.015264540267809e-09
2013-05-22,RegimeShift,equity,2.001765065505359e-09
2013-05-23,RegimeShift,equity,1.953579766955889e-09
2013-05-24,RegimeShift,equity,1.9642718735885044e-09
2013-05-27,RegimeShift,equity,1.9968724576588817e-09
2013-05-28,RegimeShift,equity,0.19999959088764954
2013-05-29,RegimeShift,equity,0.19981758414288606
2013-05-30,RegimeShift,equity,0.20033456255177545
2013-05-31,RegimeShift,equity,0.1960041892134896
2013-06-03,RegimeShift,equity,0.19477418933887905
2013-06-04,RegimeShift,equity,0.19424968501246975
2013-06-05,RegimeShift,equity,0.19436600724617614
2013-06-06,RegimeShift,equity,0.19430123250354472
2013-06-07,RegimeShift,equity,0.19323173315130687
2013-06-10,RegimeShift,equity,0.19315220192796057
2013-06-11,RegimeShift,equity,0.19078026817771523
2013-06-12,RegimeShift,equity,0.19001681785608154
2013-06-13,RegimeShift,equity,0.18838094787271562
2013-06-14,RegimeShift,equity,0.19130265236428792
2013-06-17,RegimeShift,equity,0.192410472025227
2013-06-18,RegimeShift,equity,0.19144113439835903
2013-06-19,RegimeShift,equity,0.19167137922266822
2013-06-20,RegimeShift,equity,0.1872203332288881
2013-06-21,RegimeShift,equity,0.1875363385349486
2013-06-24,RegimeShift,equity,0.18545021292487218
2013-06-25,RegimeShift,equity,0.18596065180486313
2013-06-26,RegimeShift,equity,0.015072079453823946
2013-06-27,RegimeShift,equity,0.015313728043977567
2013-06-28,RegimeShift,equity,0.015773774527774533
2013-07-01,RegimeShift,equity,0.015852603171393777
2013-07-02,RegimeShift,equity,0.015703091667324334
2013-07-03,RegimeShift,equity,0.015468243868756415
2013-07-04,RegimeShift,equity,0.01563613934473634
2013-07-05,RegimeShift,equity,0.01572568550766268
2013-07-08,RegimeShift,equity,0.01559006705851057
2013-07-09,RegimeShift,equity,0.01569804348360688
2013-07-10,RegimeShift,equity,0.015590624391527752
2013-07-11,RegimeShift,equity,0.01585076288208273
2013-07-12,RegimeShift,equity,0.01605833198253632
2013-07-15,RegimeShift,equity,0.01609701407099447
2013-07-16,RegimeShift,equity,0.015920263298506508
2013-07-17,RegimeShift,equity,0.015957471959635042
