date,Strategy,turnover
2014-04-23,RegimeShift,0.0
2014-04-25,RegimeShift,0.0
2014-04-28,RegimeShift,0.0
2014-04-29,RegimeShift,0.0
2014-04-30,RegimeShift,0.0
2014-05-02,RegimeShift,0.0
2014-05-05,RegimeShift,0.0
2014-05-06,RegimeShift,0.0
2014-05-07,RegimeShift,0.25974186584195663
2014-05-08,RegimeShift,0.0
2014-05-09,RegimeShift,0.0
2014-05-12,RegimeShift,0.0
2014-05-13,RegimeShift,0.0
2014-05-14,RegimeShift,0.0
2014-05-15,RegimeShift,0.0
2014-05-16,RegimeShift,0.0
2014-05-19,RegimeShift,0.0
2014-05-20,RegimeShift,0.0
2014-05-21,RegimeShift,0.0
2014-05-22,RegimeShift,0.0
2014-05-23,RegimeShift,0.0
2014-05-26,RegimeShift,0.0
2014-05-27,RegimeShift,0.0
2014-05-28,RegimeShift,0.0
2014-05-29,RegimeShift,0.0
2014-05-30,RegimeShift,0.0
2014-06-02,RegimeShift,0.0
2014-06-03,RegimeShift,0.0
2014-06-04,RegimeShift,0.0
2014-06-05,RegimeShift,0.7310209255566419
2014-06-06,RegimeShift,0.0
2014-06-09,RegimeShift,0.0
2014-06-10,RegimeShift,0.0
2014-06-11,RegimeShift,0.0
2014-06-12,RegimeShift,0.0
2014-06-13,RegimeShift,0.0
2014-06-16,RegimeShift,0.0
2014-06-17,RegimeShift,0.0
2014-06-18,RegimeShift,0.0
2014-06-19,RegimeShift,0.0
2014-06-20,RegimeShift,0.0
2014-06-23,RegimeShift,0.0
2014-06-24,RegimeShift,0.0
2014-06-25,RegimeShift,0.0
2014-06-26,RegimeShift,0.0
2014-06-27,RegimeShift,0.0
2014-06-30,RegimeShift,0.0
2014-07-01,RegimeShift,0.0
2014-07-02,RegimeShift,0.0
2014-07-03,RegimeShift,0.0
2014-07-04,RegimeShift,0.7460502719428396
2014-07-07,RegimeShift,0.0
2014-07-08,RegimeShift,0.0
2014-07-09,RegimeShift,0.0
2014-07-10,RegimeShift,0.0
2014-07-11,RegimeShift,0.0
2014-07-14,RegimeShift,0.0
