date,posterior_maximum_probability,posterior_entropy
2024-09-06,0.999995868649997,5.5347328322595616e-05
2024-09-09,0.999995868649997,5.5347328322595616e-05
2024-09-10,0.999995868649997,5.5347328322595616e-05
2024-09-11,0.999995868649997,5.5347328322595616e-05
2024-09-12,0.999995868649997,5.5347328322595616e-05
2024-09-13,0.999995868649997,5.5347328322595616e-05
2024-09-16,0.999995868649997,5.5347328322595616e-05
2024-09-17,0.999995868649997,5.5347328322595616e-05
2024-09-18,0.999995868649997,5.5347328322595616e-05
2024-09-19,0.999995868649997,5.5347328322595616e-05
2024-09-20,0.999995868649997,5.5347328322595616e-05
2024-09-23,0.999995868649997,5.5347328322595616e-05
2024-09-24,0.999995868649997,5.5347328322595616e-05
2024-09-25,0.999995868649997,5.5347328322595616e-05
2024-09-26,0.999970512965332,0.0003370823953118643
2024-09-27,0.999970512965332,0.0003370823953118643
2024-09-30,0.999970512965332,0.0003370823953118643
2024-10-01,0.999970512965332,0.0003370823953118643
2024-10-03,0.999970512965332,0.0003370823953118643
2024-10-04,0.999970512965332,0.0003370823953118643
2024-10-07,0.999970512965332,0.0003370823953118643
2024-10-08,0.999970512965332,0.0003370823953118643
2024-10-09,0.999970512965332,0.0003370823953118643
2024-10-10,0.999970512965332,0.0003370823953118643
2024-10-11,0.999970512965332,0.0003370823953118643
2024-10-14,0.999970512965332,0.0003370823953118643
2024-10-15,0.999970512965332,0.0003370823953118643
2024-10-16,0.999970512965332,0.0003370823953118643
2024-10-17,0.999970512965332,0.0003370823953118643
2024-10-18,0.999970512965332,0.0003370823953118643
2024-10-21,0.999970512965332,0.0003370823953118643
2024-10-22,0.999970512965332,0.0003370823953118643
2024-10-23,0.999970512965332,0.0003370823953118643
2024-10-24,0.999970512965332,0.0003370823953118643
2024-10-25,0.999970512965332,0.0003370823953118643
2024-10-28,0.99999998697308,2.495756923050085e-07
2024-10-29,0.99999998697308,2.495756923050085e-07
2024-10-30,0.99999998697308,2.495756923050085e-07
2024-10-31,0.99999998697308,2.495756923050085e-07
2024-11-01,0.99999998697308,2.495756923050085e-07
2024-11-04,0.99999998697308,2.495756923050085e-07
2024-11-05,0.99999998697308,2.495756923050085e-07
2024-11-06,0.99999998697308,2.495756923050085e-07
2024-11-07,0.99999998697308,2.495756923050085e-07
2024-11-08,0.99999998697308,2.495756923050085e-07
2024-11-11,0.99999998697308,2.495756923050085e-07
2024-11-12,0.99999998697308,2.495756923050085e-07
2024-11-13,0.99999998697308,2.495756923050085e-07
2024-11-14,0.99999998697308,2.495756923050085e-07
2024-11-18,0.99999998697308,2.495756923050085e-07
2024-11-19,0.99999998697308,2.495756923050085e-07
2024-11-21,0.99999998697308,2.495756923050085e-07
2024-11-22,0.99999998697308,2.495756923050085e-07
2024-11-25,0.99999998697308,2.495756923050085e-07
2024-11-26,0.99999998697308,2.495756923050085e-07
2024-11-27,0.99999998697308,2.495756923050085e-07
2024-11-28,1.0,5.526204223185709e-11
2024-11-29,1.0,5.526204223185709e-11
2024-12-02,1.0,5.526204223185709e-11
2024-12-03,1.0,5.526204223185709e-11
2024-12-04,1.0,5.526204223185709e-11
2024-12-05,1.0,5.526204223185709e-11
2024-12-06,1.0,5.526204223185709e-11
2024-12-09,1.0,5.526204223185709e-11
2024-12-10,1.0,5.526204223185709e-11
2024-12-11,1.0,5.526204223185709e-11
2024-12-12,1.0,5.526204223185709e-11
2024-12-13,1.0,5.526204223185709e-11
2024-12-16,1.0,5.526204223185709e-11
2024-12-17,1.0,5.526204223185709e-11
2024-12-18,1.0,5.526204223185709e-11
2024-12-19,1.0,5.526204223185709e-11
2024-12-20,1.0,5.526204223185709e-11
2024-12-23,1.0,5.526204223185709e-11
2024-12-24,1.0,5.526204223185709e-11
2024-12-26,1.0,5.526204223185709e-11
2024-12-27,1.0,5.526204223185709e-11
2024-12-30,1.0,5.526204223185709e-11
2024-12-31,1.0,5.526204223185709e-11
2025-01-01,1.0,5.526204223185709e-11
2025-01-02,1.0,5.526204223185709e-11
2025-01-03,1.0,5.526204223185709e-11
2025-01-06,1.0,5.526204223185709e-11
2025-01-07,1.0,5.526204223185709e-11
2025-01-08,1.0,5.526204223185709e-11
2025-01-09,1.0,5.526204223185709e-11
2025-01-10,1.0,5.526204223185709e-11
2025-01-13,1.0,5.526204223185709e-11
2025-01-14,1.0,5.526204223185709e-11
2025-01-15,1.0,5.526204223185709e-11
2025-01-16,1.0,5.526204223185709e-11
2025-01-17,1.0,5.526204223185709e-11
2025-01-20,1.0,5.526204223185709e-11
2025-01-21,1.0,5.526204223185709e-11
2025-01-22,1.0,5.526204223185709e-11
2025-01-23,1.0,5.526204223185709e-11
2025-01-24,1.0,5.526204223185709e-11
2025-01-27,1.0,5.526204223185709e-11
2025-01-28,0.9999999320373286,1.1896665669487848e-06
2025-01-29,0.9999999320373286,1.1896665669487848e-06
2025-01-30,0.9999999320373286,1.1896665669487848e-06
2025-01-31,0.9999999320373286,1.1896665669487848e-06
2025-02-01,0.9999999320373286,1.1896665669487848e-06
2025-02-03,0.9999999320373286,1.1896665669487848e-06
2025-02-04,0.9999999320373286,1.1896665669487848e-06
2025-02-05,0.9999999320373286,1.1896665669487848e-06
2025-02-06,0.9999999320373286,1.1896665669487848e-06
2025-02-07,0.9999999320373286,1.1896665669487848e-06
